P_um,N,I_b_nA,fill,rms_nm,p99_nm,max_nm,mean_nm,n_eval
20.0,316,1.0,0.5,67.45894769237928,93.61880311819188,95.12980422180559,63.74399329163059,4000
20.0,316,5.0,1.0,670.0835118970815,925.7896908049652,944.1224594031538,633.2481179960865,400
20.0,316,5.0,0.7,469.4727153284704,650.5151712692107,666.1739933084236,443.68073653758483,4000
20.0,316,5.0,0.5,335.3413230868449,464.94057953464244,475.64739764604036,316.98056324568864,4000
20.0,316,10.0,1.0,1377.6230689826832,1873.768866553468,1888.2449188063076,1303.767604013381,400
20.0,316,10.0,0.7,964.2221102815855,1317.518719033749,1332.8413101401509,912.5318576024848,4000
20.0,316,10.0,0.5,689.1491877571076,939.0978456211017,953.5824722147779,652.2329447029764,4000
49.99999999999999,32,1.0,1.0,5.406406330578595,7.397990474777437,7.398449495776578,5.100544753622899,400
49.99999999999999,32,1.0,0.7,3.7550846692312994,5.294877161269901,5.471581704772566,3.5381343157059697,4000
49.99999999999999,32,1.0,0.5,2.707849142475364,3.8547967519922124,4.0945031571573995,2.553004208512043,4000
49.99999999999999,32,5.0,1.0,27.11864376949911,36.99224747888289,36.99224747888293,25.560596733161624,400
49.99999999999999,32,5.0,0.7,19.13513060015064,27.088521235860966,27.72882575388479,18.040088362142683,4000
49.99999999999999,32,5.0,0.5,13.872288354401556,20.14981637356322,21.20640172953303,13.055597721997447,4000
49.99999999999999,32,10.0,1.0,55.02316145097663,73.98449495776578,73.98449495776586,52.08438889070223,400
49.99999999999999,32,10.0,0.7,38.158544146823516,53.512486735737085,55.77762679143075,36.06707701831503,4000
49.99999999999999,32,10.0,0.5,27.289903733776537,39.06190410826747,42.10598842486652,25.7782405519081,4000
49.99999999999999,100,1.0,1.0,16.980424322624803,23.702386431262664,23.710784815470344,16.09616373787064,400
49.99999999999999,100,1.0,0.7,11.881314654206122,16.617656824285234,17.038972826098963,11.270677100043203,4000
49.99999999999999,100,1.0,0.5,8.511353023175749,11.904223603343986,12.281965669177275,8.079484913861487,4000
49.99999999999999,100,5.0,1.0,84.58088005161545,118.51162904829371,118.55392407735258,79.31011222174338,400
49.99999999999999,100,5.0,0.7,59.103416675022395,83.25776064502563,85.23894812669177,55.405738981788915,4000
49.99999999999999,100,5.0,0.5,42.20205738983593,59.56489719618394,61.98285693787441,39.56187448328453,4000
49.99999999999999,100,10.0,1.0,172.50643292631167,236.9951518786412,237.10784815470515,163.42356629791433,400
49.99999999999999,100,10.0,0.7,121.21507100601075,167.14741802972355,169.95474961824462,114.89247907084898,4000
49.99999999999999,100,10.0,0.5,86.40877984059894,119.60208200724041,122.3010045815714,81.90371110036246,4000
49.99999999999999,316,1.0,1.0,54.37782459244979,74.89275663673939,75.52979675225134,51.60947990706606,400
49.99999999999999,316,1.0,0.7,38.07973131730943,52.46001292071773,53.33061569558904,36.13886232964588,4000
49.99999999999999,316,1.0,0.5,27.212306732024967,37.521957524346575,38.24245898745125,25.823216401648033,4000
49.99999999999999,316,5.0,1.0,269.1576773269739,374.74332772201785,377.64898376125274,255.95557072923538,400
49.99999999999999,316,5.0,0.7,188.65583940166414,263.06399857500037,266.38616778158485,179.39461237645082,4000
49.99999999999999,316,5.0,0.5,134.6384147632537,188.06712676998987,190.91716518716507,128.0436429291168,4000
49.99999999999999,316,10.0,1.0,530.9888053055479,749.4960468291209,755.2979675225055,495.9719947035079,400
49.99999999999999,316,10.0,0.7,371.77475146096657,525.0685094244953,531.9044441871515,347.36442394203414,4000
49.99999999999999,316,10.0,0.5,265.6411405070188,375.4844816129888,380.0090506353751,248.26252007904995,4000
99.99999999999999,32,1.0,1.0,2.7997551968840226,3.6989952373887185,3.699224747888289,2.6618160372248587,400
